year,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
2015,"$428,980 ","$610,130 ","$210,710 ","$231,730 ","$228,120 ","$442,440 ","$160,000 ","$375,000 ","$211,470 ","$162,500 ","$263,890 ",NA,"$195,000 ","$172,500 ","$163,330 ",NA,"$441,610 ","$245,000 ","$957,000 ","$268,750 ","$257,500 ","$168,750 ","$583,333 ","$420,000 ","$495,000 ","$339,290 ","$674,340 ","$375,980 ","$275,000 ","$306,060 ","$256,670 ","$435,000 ","$206,660 ","$496,380 ","$986,610 ","$263,360 ","$478,720 ","$1,012,500 ","$690,220 ","$815,000 ","$665,000 ","$216,130 ","$195,000 ","$315,000 ","$474,500 ","$230,790 ","$227,080 ","$164,290 ",NA,"$173,330 ","$236,360 ","$582,630 ","$307,500 ","$204,170 ",,"$351,790 ","$395,200 ","$520,000 ","$240,928 ",NA,"$267,070 ","$610,180 ","$420,000 "
2015,"$429,930 ","$651,950 ","$271,430 ","$247,320 ","$230,000 ","$476,340 ","$200,000 ","$384,880 ","$210,320 ","$220,000 ","$250,000 ",NA,"$217,500 ","$196,000 ","$184,290 ",NA,"$419,260 ","$217,500 ","$1,000,000 ","$250,000 ","$309,000 ","$168,750 ","$937,499 ","$500,000 ","$480,000 ","$320,000 ","$680,290 ","$375,380 ","$180,000 ","$323,220 ","$283,960 ","$450,000 ","$213,930 ","$499,000 ","$1,154,760 ","$270,750 ","$491,670 ","$1,200,000 ","$556,820 ","$915,130 ","$675,000 ","$225,860 ","$148,330 ","$330,000 ","$488,250 ","$237,680 ","$213,330 ","$150,000 ",NA,"$172,140 ","$195,000 ","$568,840 ","$372,860 ","$215,220 ",,"$367,480 ","$409,810 ","$550,000 ","$254,811 ",NA,"$282,400 ","$669,800 ","$435,000 "
2015,"$464,640 ","$713,060 ","$250,000 ","$233,930 ","$258,330 ","$491,780 ","$140,000 ","$393,400 ","$213,960 ","$190,000 ","$253,120 ",NA,"$208,550 ","$190,000 ","$225,000 ",NA,"$419,370 ","$198,750 ","$1,142,500 ","$275,000 ","$290,000 ","$190,000 ","$562,500 ","$510,000 ","$554,750 ","$330,360 ","$696,060 ","$383,330 ","$241,670 ","$331,710 ","$282,080 ","$474,900 ","$215,640 ","$530,650 ","$1,275,000 ","$272,500 ","$507,440 ","$1,300,000 ","$797,410 ","$932,100 ","$747,250 ","$223,750 ","$176,670 ","$350,000 ","$500,500 ","$242,170 ","$250,000 ","$163,330 ",NA,"$182,630 ","$232,140 ","$596,890 ","$334,720 ","$198,890 ",,"$381,250 ","$427,990 ","$595,000 ","$255,989 ",NA,"$290,240 ","$730,650 ","$449,000 "
2015,"$484,370 ","$742,340 ","$227,500 ","$253,850 ","$258,330 ","$553,030 ","$132,220 ","$405,170 ","$217,510 ","$153,330 ","$256,250 ",NA,"$215,050 ","$172,860 ","$200,000 ",NA,"$427,010 ","$222,500 ","$1,100,000 ","$245,830 ","$350,000 ","$204,840 ","$562,500 ","$455,000 ","$635,000 ","$336,760 ","$705,190 ","$394,570 ","$212,500 ","$333,520 ","$283,600 ","$465,000 ","$219,150 ","$530,810 ","$1,348,480 ","$280,870 ","$522,220 ","$1,280,000 ","$681,030 ","$960,000 ","$757,500 ","$230,930 ","$153,330 ","$339,000 ","$535,000 ","$243,800 ","$211,110 ","$167,500 ",NA,"$188,460 ","$230,000 ","$598,500 ","$376,190 ","$206,670 ",,"$381,340 ","$434,470 ","$580,000 ","$264,574 ",NA,"$288,290 ","$770,290 ","$455,000 "
2015,"$489,190 ","$763,740 ","$233,330 ","$261,110 ","$296,870 ","$557,060 ","$170,000 ","$436,510 ","$216,110 ","$170,000 ","$250,000 ",NA,"$228,600 ","$183,330 ","$217,190 ",NA,"$432,570 ","$222,060 ","$1,150,000 ","$250,000 ","$310,000 ","$203,570 ","$450,000 ","$530,000 ","$582,500 ","$340,620 ","$717,850 ","$403,420 ","$205,000 ","$332,490 ","$293,480 ","$444,990 ","$220,890 ","$538,660 ","$1,375,000 ","$280,000 ","$498,147 ","$1,330,000 ","$820,120 ","$993,000 ","$684,500 ","$231,030 ","$145,000 ","$355,000 ","$540,000 ","$245,570 ","$218,060 ","$186,000 ",NA,"$188,790 ","$241,670 ","$620,460 ","$393,180 ","$219,440 ",,"$389,880 ","$440,050 ","$579,000 ","$268,070 ",NA,"$288,960 ","$772,560 ","$460,000 "
2015,"$492,250 ","$750,000 ","$256,250 ","$253,660 ","$256,580 ","$555,000 ","$212,500 ","$410,320 ","$223,150 ","$253,120 ","$273,280 ",NA,"$219,330 ","$195,380 ","$211,670 ",NA,"$473,290 ","$199,000 ","$1,105,000 ","$281,250 ","$305,100 ","$206,080 ","$687,499 ","$485,000 ","$609,000 ","$341,300 ","$716,730 ","$402,870 ","$300,000 ","$337,380 ","$295,310 ","$479,000 ","$231,300 ","$569,530 ","$1,308,500 ","$296,030 ","$534,650 ","$1,300,000 ","$735,000 ","$990,000 ","$726,000 ","$235,170 ","$152,860 ","$353,000 ","$545,000 ","$249,670 ","$236,000 ","$200,000 ",NA,"$194,170 ","$248,610 ","$634,190 ","$393,590 ","$226,320 ",,"$393,900 ","$449,530 ","$590,000 ","$270,880 ",NA,"$297,230 ","$748,340 ","$474,000 "
2015,"$490,780 ","$765,000 ","$287,000 ","$265,000 ","$270,000 ","$550,000 ","$206,000 ","$420,750 ","$225,000 ","$177,500 ","$274,900 ",NA,"$229,700 ","$193,790 ","$212,000 ",NA,"$490,360 ","$215,000 ","$1,049,000 ","$277,000 ","$317,000 ","$195,900 ","$450,000 ","$479,500 ","$630,000 ","$321,000 ","$720,000 ","$395,000 ","$250,000 ","$335,000 ","$291,000 ","$450,000 ","$230,180 ","$549,000 ","$1,284,440 ","$290,000 ","$519,000 ","$1,300,440 ","$707,000 ","$965,000 ","$750,000 ","$233,000 ","$169,500 ","$350,000 ","$543,500 ","$250,000 ","$224,440 ","$202,500 ",NA,"$185,800 ","$274,000 ","$622,580 ","$382,500 ","$229,500 ",,"$387,830 ","$452,200 ","$580,000 ","$269,723 ",NA,"$294,790 ","$774,400 ","$472,000 "
2015,"$497,520 ","$735,000 ","$335,000 ","$264,250 ","$249,000 ","$560,000 ","$190,000 ","$383,000 ","$220,000 ","$206,000 ","$268,000 ",NA,"$225,000 ","$184,000 ","$215,000 ",NA,"$492,360 ","$211,500 ","$1,077,500 ","$277,500 ","$345,000 ","$190,000 ","$550,000 ","$470,000 ","$590,000 ","$325,000 ","$714,380 ","$403,000 ","$248,000 ","$335,000 ","$290,000 ","$460,000 ","$230,530 ","$539,000 ","$1,225,440 ","$291,500 ","$507,500 ","$1,234,000 ","$713,500 ","$973,000 ","$715,000 ","$230,000 ","$145,000 ","$360,000 ","$549,000 ","$248,000 ","$240,000 ","$156,000 ",NA,"$191,250 ","$244,800 ","$620,150 ","$387,000 ","$222,000 ",,"$391,652 ","$446,910 ","$554,750 ","$271,096 ",NA,"$293,970 ","$748,680 ","$460,000 "
2015,"$484,670 ","$731,000 ","$240,500 ","$248,000 ","$262,000 ","$525,000 ","$216,500 ","$399,000 ","$220,000 ","$231,250 ","$270,000 ",NA,"$219,900 ","$198,000 ","$225,000 ",NA,"$517,750 ","$218,480 ","$1,050,000 ","$236,150 ","$340,000 ","$205,050 ","$550,000 ","$480,000 ","$617,500 ","$339,900 ","$705,000 ","$390,000 ","$267,500 ","$329,000 ","$290,700 ","$466,000 ","$229,890 ","$525,000 ","$1,189,000 ","$295,000 ","$518,000 ","$1,200,000 ","$745,000 ","$955,000 ","$755,000 ","$238,450 ","$175,000 ","$350,000 ","$541,500 ","$252,000 ","$231,000 ","$192,500 ",NA,"$189,540 ","$249,000 ","$599,710 ","$409,000 ","$230,000 ",,"$388,740 ","$440,870 ","$590,000 ","$268,732 ",NA,"$289,690 ","$734,330 ","$454,900 "
2015,"$478,780 ","$710,000 ","$267,000 ","$262,000 ","$246,940 ","$505,000 ","$249,000 ","$385,000 ","$215,000 ","$201,500 ","$255,000 ",NA,"$210,000 ","$180,000 ","$210,000 ",NA,"$509,570 ","$202,500 ","$1,200,000 ","$248,750 ","$353,500 ","$195,000 ","$599,000 ","$486,000 ","$655,000 ","$330,500 ","$700,000 ","$397,500 ","$264,760 ","$330,000 ","$290,000 ","$487,500 ","$231,330 ","$520,500 ","$1,295,000 ","$280,000 ","$526,650 ","$1,188,940 ","$725,000 ","$951,000 ","$743,750 ","$234,500 ","$187,000 ","$342,500 ","$529,750 ","$259,000 ","$250,000 ","$195,250 ",NA,"$191,450 ","$250,000 ","$604,610 ","$370,000 ","$228,500 ",,"$390,850 ","$443,540 ","$570,000 ","$266,985 ",NA,"$293,090 ","$732,070 ","$460,000 "
